Time,Amplitude
0.0,0.0
0.01,0.30901699437494745
0.02,0.587785252292473
0.03,0.8090169943749475
0.04,0.9510565162951536
0.05,1.0
0.06,0.9510565162951538
0.07,0.8090169943749476
0.08,0.5877852522924731
0.09,0.30901699437494756
0.1,1.2246467991473532e-16
0.11,-0.30901699437494734
0.12,-0.5877852522924729
0.13,-0.8090169943749475
0.14,-0.9510565162951535
0.15,-1.0
0.16,-0.9510565162951538
0.17,-0.8090169943749477
0.18,-0.5877852522924732
0.19,-0.3090169943749477
0.2,-2.4492935982947064e-16
0.21,0.30901699437494723
0.22,0.5877852522924728
0.23,0.8090169943749473
0.24,0.9510565162951535
0.25,0.9999999999999999
0.26,0.9510565162951538
0.27,0.8090169943749477
0.28,0.5877852522924732
0.29,0.30901699437494784
0.3,3.6739403974420594e-16
0.31,-0.30901699437494706
0.32,-0.5877852522924728
0.33,-0.8090169943749473
0.34,-0.9510565162951535
0.35000000000000003,-0.9999999999999999
0.36,-0.9510565162951538
0.37,-0.8090169943749478
0.38,-0.5877852522924734
0.39,-0.30901699437494795
0.4,-4.898587196589413e-16
0.41000000000000003,0.3090169943749487
0.42,0.5877852522924727
0.43,0.8090169943749472
0.44,0.9510565162951535
0.45,0.9999999999999998
0.46,0.9510565162951539
0.47000000000000003,0.8090169943749469
0.48,0.5877852522924736
0.49,0.30901699437494806
0.5,6.123233995736766e-16
0.51,-0.30901699437494856
0.52,-0.5877852522924725
0.53,-0.8090169943749481
0.54,-0.9510565162951534
0.55,-1.0
0.56,-0.9510565162951539
0.5700000000000001,-0.8090169943749469
0.58,-0.5877852522924737
0.59,-0.30901699437494984
0.6,-7.347880794884119e-16
0.61,0.30901699437494506
0.62,0.5877852522924724
0.63,0.8090169943749481
0.64,0.9510565162951534
0.65,0.9999999999999999
0.66,0.951056516295154
0.67,0.809016994374947
0.68,0.5877852522924737
0.6900000000000001,0.30901699437494656
0.7000000000000001,-2.6954609193973537e-15
0.71,-0.30901699437494495
0.72,-0.5877852522924724
0.73,-0.8090169943749459
0.74,-0.9510565162951534
0.75,-0.9999999999999998
0.76,-0.951056516295154
0.77,-0.809016994374947
0.78,-0.5877852522924738
0.79,-0.30901699437494673
0.8,-9.797174393178826e-16
0.81,0.3090169943749482
0.8200000000000001,0.5877852522924751
0.8300000000000001,0.809016994374948
0.84,0.9510565162951534
0.85,0.9999999999999998
0.86,0.951056516295154
0.87,0.8090169943749492
0.88,0.5877852522924739
0.89,0.30901699437494684
0.9,1.102182119232618e-15
0.91,-0.3090169943749481
0.92,-0.5877852522924721
0.93,-0.8090169943749479
0.9400000000000001,-0.9510565162951544
0.9500000000000001,-0.9999999999999999
0.96,-0.9510565162951541
0.97,-0.8090169943749492
0.98,-0.587785252292474
0.99,-0.3090169943749503
1.0,-1.2246467991473533e-15
1.01,0.309016994374948
1.02,0.5877852522924749
1.03,0.8090169943749458
1.04,0.9510565162951532
1.05,0.9999999999999999
1.06,0.951056516295153
1.07,0.8090169943749451
1.08,0.5877852522924741
1.09,0.30901699437494706
1.1,-2.2056021997384123e-15
1.11,-0.3090169943749513
1.12,-0.5877852522924719
1.1300000000000001,-0.8090169943749478
1.1400000000000001,-0.9510565162951543
1.1500000000000001,-0.9999999999999999
1.16,-0.9510565162951541
1.17,-0.8090169943749514
1.18,-0.587785252292477
1.19,-0.3090169943749505
1.2,-1.4695761589768238e-15
1.21,0.3090169943749478
1.22,0.587785252292469
1.23,0.8090169943749456
1.24,0.9510565162951532
1.25,0.9999999999999999
1.26,0.951056516295153
1.27,0.8090169943749494
1.28,0.5877852522924742
1.29,0.3090169943749473
1.3,-1.9606728399089416e-15
1.31,-0.30901699437494423
1.32,-0.5877852522924718
1.33,-0.8090169943749477
1.34,-0.9510565162951542
1.35,-0.9999999999999999
1.36,-0.9510565162951542
1.37,-0.8090169943749475
1.3800000000000001,-0.5877852522924715
1.3900000000000001,-0.309016994374944
1.4000000000000001,5.3909218387947074e-15
1.41,0.30901699437494073
1.42,0.5877852522924688
1.43,0.8090169943749455
1.44,0.9510565162951531
1.45,0.9999999999999999
1.46,0.9510565162951553
1.47,0.8090169943749497
1.48,0.5877852522924746
1.49,0.3090169943749475
1.5,5.3896838775215305e-15
1.51,-0.309016994374944
1.52,-0.5877852522924715
1.53,-0.8090169943749475
1.54,-0.9510565162951542
1.55,-0.9999999999999999
1.56,-0.9510565162951542
1.57,-0.8090169943749477
1.58,-0.5877852522924718
1.59,-0.30901699437494423
1.6,-1.959434878635765e-15
1.61,0.3090169943749473
1.62,0.5877852522924742
1.6300000000000001,0.8090169943749494
1.6400000000000001,0.9510565162951552
1.6500000000000001,1.0
1.6600000000000001,0.9510565162951532
1.67,0.8090169943749498
1.68,0.5877852522924747
1.69,0.3090169943749478
1.7,5.634613237351001e-15
1.71,-0.3090169943749438
1.72,-0.5877852522924714
1.73,-0.8090169943749473
1.74,-0.951056516295152
1.75,-0.9999999999999999
1.76,-0.9510565162951543
1.77,-0.8090169943749478
1.78,-0.5877852522924719
1.79,-0.3090169943749513
1.8,-2.204364238465236e-15
1.81,0.30901699437494706
1.82,0.5877852522924741
1.83,0.8090169943749493
1.84,0.951056516295153
1.85,0.9999999999999999
1.86,0.9510565162951532
1.87,0.8090169943749458
1.8800000000000001,0.5877852522924691
1.8900000000000001,0.309016994374948
1.9000000000000001,-1.22588476042053e-15
1.9100000000000001,-0.3090169943749503
1.92,-0.5877852522924711
1.93,-0.809016994374943
1.94,-0.9510565162951519
1.95,-0.9999999999999998
1.96,-0.9510565162951544
1.97,-0.8090169943749479
1.98,-0.5877852522924779
1.99,-0.30901699437495145
2.0,-2.4492935982947065e-15
2.0100000000000002,0.30901699437495356
2.02,0.5877852522924739
2.0300000000000002,0.8090169943749492
2.04,0.9510565162951551
2.05,0.9999999999999999
2.06,0.9510565162951555
2.07,0.80901699437495
2.08,0.5877852522924751
2.09,0.3090169943749482
2.1,-9.809554005910593e-16
2.11,-0.30901699437493657
2.12,-0.5877852522924767
2.13,-0.8090169943749429
2.14,-0.9510565162951561
2.15,-0.9999999999999999
2.16,-0.9510565162951545
2.17,-0.809016994374948
2.18,-0.5877852522924724
2.19,-0.30901699437494495
2.2,4.411204399476825e-15
2.21,0.3090169943749398
2.22,0.5877852522924795
2.23,0.8090169943749449
2.24,0.9510565162951529
2.25,0.9999999999999998
2.2600000000000002,0.9510565162951534
2.27,0.809016994374946
2.2800000000000002,0.5877852522924695
2.29,0.3090169943749552
2.3000000000000003,-7.841453398362591e-15
2.31,-0.30901699437494307
2.32,-0.5877852522924708
2.33,-0.8090169943749469
2.34,-0.9510565162951494
2.35,-0.9999999999999999
2.36,-0.9510565162951568
2.37,-0.809016994374944
2.38,-0.5877852522924782
2.39,-0.30901699437495195
2.4,-2.9391523179536475e-15
2.41,0.30901699437494634
2.42,0.5877852522924736
2.43,0.8090169943749489
2.44,0.9510565162951505
2.45,0.9999999999999999
2.46,0.9510565162951558
2.47,0.809016994374942
2.48,0.5877852522924756
2.49,0.3090169943749487
2.5,-4.91096680932118e-16
2.5100000000000002,-0.3090169943749496
2.52,-0.5877852522924762
2.5300000000000002,-0.8090169943749509
2.54,-0.9510565162951515
2.5500000000000003,-0.9999999999999999
2.56,-0.9510565162951546
2.57,-0.8090169943749483
2.58,-0.5877852522924728
2.59,-0.3090169943749589
2.6,3.921345679817883e-15
2.61,0.3090169943749394
2.62,0.5877852522924676
2.63,0.8090169943749446
2.64,0.9510565162951528
2.65,0.9999999999999999
2.66,0.9510565162951535
2.67,0.8090169943749547
2.68,0.5877852522924699
2.69,0.30901699437495567
2.7,-7.351594678703649e-15
2.71,-0.3090169943749426
2.72,-0.5877852522924704
2.73,-0.8090169943749466
2.74,-0.9510565162951538
2.75,-0.9999999999999999
2.7600000000000002,-0.9510565162951524
2.77,-0.8090169943749527
2.7800000000000002,-0.5877852522924671
2.79,-0.30901699437495245
2.8000000000000003,1.0781843677589415e-14
2.81,0.3090169943749459
2.82,0.5877852522924616
2.83,0.8090169943749486
2.84,0.9510565162951504
2.85,0.9999999999999999
2.86,0.9510565162951559
2.87,0.8090169943749507
2.88,0.5877852522924759
2.89,0.30901699437494917
2.9,-1.2379612731767154e-18
2.91,-0.30901699437494917
2.92,-0.5877852522924644
2.93,-0.8090169943749507
2.94,-0.9510565162951514
2.95,-0.9999999999999998
2.96,-0.9510565162951549
2.97,-0.8090169943749486
2.98,-0.5877852522924731
2.99,-0.3090169943749459
3.0,-1.0779367755043061e-14
3.0100000000000002,0.30901699437495245
3.02,0.5877852522924671
3.0300000000000002,0.8090169943749527
3.04,0.9510565162951524
3.0500000000000003,0.9999999999999999
3.06,0.9510565162951538
3.0700000000000003,0.8090169943749466
3.08,0.5877852522924704
3.09,0.3090169943749561
3.1,7.349118756157295e-15
3.11,-0.3090169943749422
3.12,-0.5877852522924699
3.13,-0.8090169943749463
3.14,-0.9510565162951535
3.15,-0.9999999999999999
3.16,-0.9510565162951528
3.17,-0.8090169943749529
3.18,-0.5877852522924676
3.19,-0.3090169943749529
3.2,-3.91886975727153e-15
3.21,0.3090169943749454
3.22,0.5877852522924728
3.23,0.8090169943749483
3.24,0.9510565162951546
3.25,0.9999999999999999
3.2600000000000002,0.9510565162951515
3.27,0.8090169943749509
3.2800000000000002,0.5877852522924648
3.29,0.3090169943749496
3.3000000000000003,4.886207583857646e-16
3.31,-0.3090169943749487
3.3200000000000003,-0.5877852522924756
3.33,-0.8090169943749503
3.34,-0.9510565162951513
3.35,-0.9999999999999999
3.36,-0.951056516295155
3.37,-0.8090169943749489
3.38,-0.5877852522924736
3.39,-0.30901699437494634
3.4,-1.1269226474702002e-14
3.41,0.30901699437495195
3.42,0.5877852522924667
3.43,0.809016994374944
3.44,0.9510565162951523
3.45,1.0
3.46,0.9510565162951539
3.47,0.8090169943749469
3.48,0.5877852522924822
3.49,0.30901699437494307
3.5,7.838977475816236e-15
3.5100000000000002,-0.3090169943749552
3.52,-0.5877852522924695
3.5300000000000002,-0.809016994374946
3.54,-0.9510565162951534
3.5500000000000003,-0.9999999999999999
3.56,-0.9510565162951529
3.5700000000000003,-0.8090169943749449
3.58,-0.5877852522924795
3.59,-0.30901699437495334
3.6,-4.408728476930472e-15
3.61,0.30901699437494495
3.62,0.5877852522924724
3.63,0.8090169943749397
3.64,0.9510565162951545
3.65,0.9999999999999998
3.66,0.9510565162951518
3.67,0.8090169943749512
3.68,0.5877852522924767
3.69,0.3090169943749501
3.7,9.784794780447059e-16
3.71,-0.3090169943749482
3.72,-0.5877852522924751
3.73,-0.8090169943749417
3.74,-0.9510565162951555
3.75,-0.9999999999999999
3.7600000000000002,-0.9510565162951508
3.77,-0.8090169943749492
3.7800000000000002,-0.5877852522924739
3.79,-0.30901699437494684
3.8000000000000003,2.45176952084106e-15
3.81,0.30901699437493796
3.8200000000000003,0.5877852522924779
3.83,0.8090169943749437
3.84,0.9510565162951522
3.85,0.9999999999999999
3.86,0.9510565162951584
3.87,0.8090169943749471
3.88,0.5877852522924827
3.89,0.30901699437494357
3.9,8.32883619547518e-15
3.91,-0.30901699437494123
3.92,-0.5877852522924691
3.93,-0.8090169943749458
3.94,-0.9510565162951532
3.95,-0.9999999999999999
3.96,-0.9510565162951573
3.97,-0.8090169943749451
3.98,-0.5877852522924799
3.99,-0.3090169943749403
4.0,-4.898587196589413e-15
4.01,0.30901699437493096
4.0200000000000005,0.5877852522924835
4.03,0.8090169943749478
4.04,0.9510565162951543
4.05,0.9999999999999999
4.0600000000000005,0.951056516295152
4.07,0.8090169943749431
4.08,0.5877852522924656
4.09,0.3090169943749505
4.1,1.567919291290565e-14
4.11,-0.3090169943749478
4.12,-0.5877852522924633
4.13,-0.8090169943749498
4.14,-0.951056516295151
4.15,-0.9999999999999998
4.16,-0.9510565162951552
4.17,-0.8090169943749578
4.18,-0.5877852522924742
4.19,-0.3090169943749338
4.2,1.9619108011821185e-15
4.21,0.30901699437493746
4.22,0.5877852522924545
4.23,0.8090169943749601
4.24,0.9510565162951564
4.25,1.0
4.26,0.9510565162951586
4.2700000000000005,0.8090169943749475
4.28,0.58778525229246
4.29,0.309016994374944
4.3,8.81869491513412e-15
4.3100000000000005,-0.3090169943749543
4.32,-0.5877852522924688
4.33,-0.8090169943749539
4.34,-0.9510565162951531
4.3500000000000005,-0.9999999999999999
4.36,-0.9510565162951531
4.37,-0.8090169943749539
4.38,-0.5877852522924688
4.39,-0.3090169943749543
4.4,8.82240879895365e-15
4.41,0.309016994374944
4.42,0.58778525229246
4.43,0.8090169943749307
4.44,0.9510565162951586
4.45,0.9999999999999999
4.46,0.9510565162951564
4.47,0.8090169943749601
4.48,0.5877852522924775
4.49,0.30901699437493746
4.5,1.9581969173625882e-15
4.51,-0.3090169943749338
4.5200000000000005,-0.5877852522924742
4.53,-0.8090169943749411
4.54,-0.9510565162951552
4.55,-0.9999999999999999
4.5600000000000005,-0.951056516295151
4.57,-0.8090169943749498
4.58,-0.5877852522924862
4.59,-0.30901699437494773
4.6000000000000005,1.5682906796725182e-14
4.61,0.30901699437495056
4.62,0.5877852522924656
4.63,0.8090169943749348
4.64,0.951056516295152
4.65,0.9999999999999999
4.66,0.9510565162951543
4.67,0.8090169943749561
4.68,0.5877852522924949
4.69,0.30901699437493096
4.7,-4.902301080408943e-15
4.71,-0.3090169943749403
4.72,-0.5877852522924568
4.73,-0.8090169943749451
4.74,-0.9510565162951573
4.75,-0.9999999999999999
4.76,-0.9510565162951576
4.7700000000000005,-0.8090169943749458
4.78,-0.5877852522924807
4.79,-0.30901699437494123
4.8,-5.878304635907295e-15
4.8100000000000005,0.30901699437495705
4.82,0.5877852522924711
4.83,0.8090169943749388
4.84,0.9510565162951541
4.8500000000000005,0.9999999999999999
4.86,0.9510565162951522
4.87,0.8090169943749521
4.88,0.5877852522924893
4.89,0.30901699437495145
4.9,-1.1762799078180473e-14
4.91,-0.30901699437494684
4.92,-0.5877852522924625
4.93,-0.8090169943749325
4.94,-0.9510565162951595
4.95,-0.9999999999999998
4.96,-0.9510565162951555
4.97,-0.8090169943749584
4.98,-0.5877852522924751
4.99,-0.3090169943749347
5.0,9.82193361864236e-16
5.01,0.30901699437493657
5.0200000000000005,0.5877852522924767
5.03,0.8090169943749429
5.04,0.9510565162951561
5.05,0.9999999999999999
5.0600000000000005,0.9510565162951501
5.07,0.809016994374948
5.08,0.5877852522924838
5.09,0.30901699437494495
5.1000000000000005,-1.8623297075952008e-14
5.11,-0.30901699437495334
5.12,-0.587785252292468
5.13,-0.8090169943749366
5.14,-0.9510565162951529
5.15,-1.0
5.16,-0.9510565162951534
5.17,-0.8090169943749543
5.18,-0.5877852522924926
5.19,-0.3090169943749552
5.2,7.842691359635767e-15
5.21,0.30901699437494307
5.22,0.5877852522924593
5.23,0.8090169943749469
5.24,0.9510565162951494
5.25,0.9999999999999999
5.26,0.9510565162951568
5.2700000000000005,0.809016994374944
5.28,0.5877852522924782
5.29,0.30901699437496544
5.3,2.937914356680471e-15
5.3100000000000005,-0.3090169943749599
5.32,-0.5877852522924736
5.33,-0.8090169943749406
5.34,-0.9510565162951462
5.3500000000000005,-0.9999999999999998
5.36,-0.9510565162951513
5.37,-0.8090169943749503
5.38,-0.587785252292487
5.39,-0.3090169943749757
5.4,1.4703189357407298e-14
5.41,0.3090169943749496
5.42,0.5877852522924648
5.43,0.8090169943749341
5.44,0.9510565162951515
5.45,0.9999999999999999
5.46,0.9510565162951546
5.47,0.8090169943749567
5.48,0.5877852522924728
5.49,0.3090169943749589
5.5,-3.92258364109106e-15
5.51,-0.3090169943749394
5.5200000000000005,-0.587785252292479
5.53,-0.8090169943749446
